trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.9, 'e': 0.8976275964304349}",25,0,-139.98248016259734,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.9, 'e': 0.894938748929031}",25,0,-142.7689411935223,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
39,False,"{'a': 0.9, 'e': 0.8922579558824083}",20,0,-123.00505934633537,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.9, 'e': 0.8895851931634113}",25,0,-167.18872656803134,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
41,False,"{'a': 0.9, 'e': 0.8869204367171575}",25,0,-77.76308577978975,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.9, 'e': 0.8842636625608209}",20,0,-117.08701531699718,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.9, 'e': 0.8816148467834161}",25,0,-97.06984046224535,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.8789739655455832}",25,0,-141.39243597890456,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
45,False,"{'a': 0.9, 'e': 0.8763409950793732}",20,0,-37.37594971635997,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.9, 'e': 0.8737159116880344}",20,11,-17.12658873499565,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.8710986917457983}",25,0,-63.95658972730075,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.9, 'e': 0.8684893116976679}",20,0,6.93385792760492,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.9, 'e': 0.865887748059205}",25,0,-9.028791347173991,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.9, 'e': 0.8632939774163194}",25,3,-89.5193751826486,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
51,False,"{'a': 0.9, 'e': 0.8607079764250578}",20,0,-113.00262491835574,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.9, 'e': 0.8581297218113938}",20,0,-80.07091697244822,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.9, 'e': 0.8555591903710185}",20,0,-46.48610208554796,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.9, 'e': 0.8529963589691315}",20,0,-40.171543940145924,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.9, 'e': 0.850441204540233}",30,0,-207.90553852268926,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
56,False,"{'a': 0.9, 'e': 0.8478937040879159}",20,0,-132.3397195328864,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
57,False,"{'a': 0.9, 'e': 0.8453538346846587}",30,0,-98.00991522392899,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.8428215734716199}",30,0,-114.05517640252106,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.9, 'e': 0.8402968976584314}",30,0,-102.75990512628735,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.8377797845229938}",20,8,-35.97435208401593,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.9, 'e': 0.835270211411272}",20,0,-116.09308377003777,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.9, 'e': 0.832768155737091}",20,0,-52.37079176678654,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.8302735949819326}",30,0,-66.7285982137679,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.9, 'e': 0.8277865066947336}",20,0,-65.89402678357688,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.9, 'e': 0.8253068684916823}",25,0,-28.564449799944093,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.9, 'e': 0.8228346580560184}",20,0,-89.60761239859933,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.9, 'e': 0.8203698531378311}",20,0,-21.39561037759619,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.9, 'e': 0.8179124315538594}",30,0,-202.5672221630887,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
69,False,"{'a': 0.9, 'e': 0.8154623711872927}",20,9,-20.01587650878084,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.9, 'e': 0.813019649987571}",25,0,-128.4292528022144,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
71,False,"{'a': 0.9, 'e': 0.8105842459701871}",25,0,-124.43075034850504,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 0.9, 'e': 0.8081561372164884}",20,0,-140.13219973081613,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",1
73,False,"{'a': 0.9, 'e': 0.8057353018734796}",30,2,-20.971858172392114,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 0}",1
74,False,"{'a': 0.9, 'e': 0.8033217181536265}",20,0,-85.18050214187711,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
75,False,"{'a': 0.9, 'e': 0.8009153643346592}",30,2,-204.579738483846,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 4}",1
76,False,"{'a': 0.9, 'e': 0.7985162187593771}",25,0,-73.64909385585229,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.9, 'e': 0.7961242598354538}",20,0,-69.10500794219845,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.9, 'e': 0.7937394660352427}",25,0,-120.81548390790388,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
79,False,"{'a': 0.9, 'e': 0.7913618158955839}",35,25,-5.375928217368774,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.7889912880176096}",20,0,-44.43650190266516,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
81,False,"{'a': 0.9, 'e': 0.7866278610665535}",25,0,-72.14050992201528,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.9, 'e': 0.7842715137715565}",25,0,-88.2554854108871,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
83,False,"{'a': 0.9, 'e': 0.7819222249254772}",25,13,-14.363082505828805,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.7795799733847004}",20,0,-51.386341045810575,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
85,False,"{'a': 0.9, 'e': 0.7772447380689461}",20,0,-66.42872101738979,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
86,False,"{'a': 0.9, 'e': 0.774916497961081}",25,0,-69.96792479487446,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.9, 'e': 0.772595232106928}",25,2,-96.59074724009687,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 2}",1
88,False,"{'a': 0.9, 'e': 0.7702809196150792}",30,0,-86.67489541831038,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
89,False,"{'a': 0.9, 'e': 0.7679735396567061}",20,0,-73.63915487886095,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.9, 'e': 0.7656730714653739}",20,0,-28.35333282963584,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.9, 'e': 0.7633794943368531}",25,0,-16.90711502444868,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.9, 'e': 0.7610927876289343}",20,0,-72.50410625628876,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
93,False,"{'a': 0.9, 'e': 0.7588129307612413}",20,4,-60.009693624913474,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
94,False,"{'a': 0.9, 'e': 0.7565399032150474}",20,15,0.0987854399220307,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.754273684533089}",30,0,-185.59697178354395,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
96,False,"{'a': 0.9, 'e': 0.7520142543193826}",20,0,-118.79777520290834,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",1
97,False,"{'a': 0.9, 'e': 0.7497615922390413}",20,0,-105.53833217831476,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
98,False,"{'a': 0.9, 'e': 0.747515678018091}",20,0,-175.52672602605872,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
99,False,"{'a': 0.9, 'e': 0.7452764914432887}",20,6,-34.68661033173654,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.9, 'e': 0.7430440123619398}",25,0,-215.8159789858403,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
101,False,"{'a': 0.9, 'e': 0.7408182206817179}",25,0,-14.778921283198866,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.9, 'e': 0.7385990963704826}",20,10,-42.174774572507225,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.9, 'e': 0.7363866194561001}",30,0,-184.14179794415458,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
104,False,"{'a': 0.9, 'e': 0.7341807700262634}",25,0,-97.84675579492881,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
105,False,"{'a': 0.9, 'e': 0.7319815282283126}",30,0,-89.33525372318675,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
106,False,"{'a': 0.9, 'e': 0.7297888742690568}",25,0,-191.69720176255666,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
107,False,"{'a': 0.9, 'e': 0.7276027884145955}",30,9,-130.96835849250292,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 2}",1
108,False,"{'a': 0.9, 'e': 0.7254232509901412}",20,13,-4.714497825884278,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.9, 'e': 0.7232502423798424}",20,0,-164.53783879361063,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
